x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
17.9592,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
18.0612,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
18.1633,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
18.2653,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
18.3673,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
18.4694,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
18.5714,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
18.6735,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
18.7755,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
1.2245,5.3185,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
1.3265,5.2556,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
1.4286,5.3519,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
1.5306,5.3852,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
1.6327,5.3593,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
1.7347,5.3037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
1.8367,5.2741,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
1.9388,5.2481,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.0408,5.2148,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.1429,5.2000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.2449,5.1926,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.3469,5.1815,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.4490,5.1815,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.5510,5.1926,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.6531,5.1852,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.7551,5.1815,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.8571,5.1778,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
2.9592,5.1185,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.0612,5.1741,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.1633,5.1148,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.2653,5.1704,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.3673,5.1111,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.4694,5.1704,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.5714,5.1074,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.6735,5.1074,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.7755,5.1630,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.8776,5.1074,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
3.9796,5.1074,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
4.0816,5.1556,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
4.1837,5.0963,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
4.2857,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
4.3878,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
4.5918,5.2111,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
4.6939,5.2148,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
4.7959,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
4.8980,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.0000,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.1020,5.1741,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.2041,5.1556,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.3061,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.4082,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.5102,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.6122,5.1556,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.7143,5.1704,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.8163,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
5.9184,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
6.0204,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
6.1224,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
6.2245,5.1704,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
6.3265,5.1704,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
6.4286,5.1037,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
6.8367,5.2000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
6.9388,5.2000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
7.4490,5.1926,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
7.5510,5.1926,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.1633,5.1926,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.2653,5.1926,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.3673,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.4694,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.5714,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.6735,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.7755,5.1407,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.8776,5.1593,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
8.9796,5.1444,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.0816,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.1837,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.2857,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.3878,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.4898,5.1407,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.5918,5.1556,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.6939,5.1407,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.7959,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
9.8980,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.0000,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.1020,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.2041,5.1407,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.3061,5.1519,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.4082,5.1519,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.5102,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.6122,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.7143,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.8163,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
10.9184,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.0204,5.1370,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.1224,5.1519,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.2245,5.1407,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.3265,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.4286,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.5306,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.6327,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.7347,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.8367,5.1333,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
11.9388,5.1481,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.0408,5.1370,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.1429,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.2449,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.3469,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.4490,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.5510,5.2444,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.6531,5.1333,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.7551,5.1444,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.8571,5.1444,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
12.9592,5.1333,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.0612,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.1633,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.2653,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.3673,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.4694,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.5714,5.1444,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.6735,5.1444,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.7755,5.1444,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.8776,5.1333,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
13.9796,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.0816,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.1837,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.2857,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.3878,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.4898,5.1296,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.5918,5.1407,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.6939,5.1407,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.7959,5.1333,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
14.8980,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.0000,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.1020,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.2041,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.3061,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.4082,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.5102,5.1259,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.6122,5.1370,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.7143,5.1370,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.8163,5.1296,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
15.9184,5.1296,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.0204,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.1224,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.2245,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.3265,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.4286,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.5306,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.6327,5.1259,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.7347,5.1370,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.8367,5.1370,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
16.9388,5.1370,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
17.0408,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
17.1429,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
17.2449,5.1000,days,L/min,28548387,Fig 2 panel CO,G005_Ki001,CO,digitize_app_figs.py,2026-06-25
